category,products-name,products-link
Smartphone, samsung  Galaxy F22 (6GB/ 128GB),https://eraj.com/galaxy-f22-6gb-128gb
Smartphone,Samsung Galaxy A12(4/64),https://eraj.com/samsung-galaxy-a12464
Smartphone,vivo smartphone  V23e,https://eraj.com/vivo-smartphone-v23e
Smartphone,Tecno Pop 5 LTE (32GB+3GB RAM),https://eraj.com/tecno-pop-5-lte
Smartphone,Samsung Galaxy A03 (3GB / 32GB),https://eraj.com/galaxy-a03-3gb-32gb
Smartphone,Realme GT Master (8/128),https://eraj.com/realme-gt-master-8128
Smartphone,Realme 8 5G (8/128),https://eraj.com/realme-8-5g-6128
Smartphone,Samsung Galaxy A73 5G (8/256GB),https://eraj.com/-galaxy-a73-5g-8256gb
Smartphone,Realme 9i (4/64),https://eraj.com/realme-9i-464
Smartphone,vivo smartphone  Y21 4/64,https://eraj.com/vivo-smartphone-y21
Smartphone,"SAMSUNG Galaxy A03 Core (Blue, 32 GB)  (2 GB RAM)",https://eraj.com/samsung-galaxy-a03-core-blue-32-gb-2-gb-ram
Smartphone,realme c35 4/128,https://eraj.com/realme-c35-4128
Smartphone,Realme C11 (2021) 2/32,https://eraj.com/realme-c11-2021
Smartphone,Samsung Galaxy Tab A7,https://eraj.com/samsung-galaxy-tab-a7
Smartphone,Huawei P40 Pro,https://eraj.com/huawei-p40-pro
Smartphone,Realme Narzo 50A Prime 4/128 GB,https://eraj.com/realme-narzo-50a-prime-4128-gb
Smartphone,Samsung Galaxy A71 (8GB / 128GB),https://eraj.com/galaxy-a71-8gb-128gb
Smartphone,Lenovo Tab M8 (2+32GB),https://eraj.com/lenovo-tab-m8-232gb
Smartphone,Samsung Galaxy S21 FE 5G,https://eraj.com/samsung-galaxy-s21-fe-5g
Smartphone,Samsung Galaxy A12 (4GB / 128GB),https://eraj.com/galaxy-a12-4gb-128gb
Smartphone,Realme C25s 4/128 GB,https://eraj.com/realme-c25s-4128-gb
Smartphone,energizer hardcase h550s 3/32 gb smartphone,https://eraj.com/energizer-hardcase-h550s-332-gb-smartphone
Smartphone,Oppo A54 6Gb/128Gb,https://eraj.com/oppo-a54-6gb128gb
Smartphone,Oppo A57 (2022),https://eraj.com/oppo-a57-2022
Smartphone,Huawei P40 Pro,https://eraj.com/huawei-p40-pro
Smartphone,Samsung Galaxy A71 (8GB / 128GB),https://eraj.com/galaxy-a71-8gb-128gb
Smartphone,Realme C11 (2021) 2/32,https://eraj.com/realme-c11-2021
